Locus	Sense	Start	End	Size	Length	Gene
SCCmec_AB037671_Type-III_00048	(-)	38540	39214	674	224	IS431
SCCmec_AB037671_Type-III_00049	(+)	39472	39639	167	55	NN
SCCmec_AB037671_Type-III_00050	(+)	39737	39967	230	76	NN
SCCmec_AB037671_Type-III_00051	(+)	40516	41259	743	247	NN
SCCmec_AB037671_Type-III_00052	(+)	41356	41784	428	142	NN
SCCmec_AB037671_Type-III_00053	(-)	41830	43836	2006	668	mecA
SCCmec_AB037671_Type-III_00054	(+)	43986	45527	1541	513	mecR1
SCCmec_AB037671_Type-III_00055	(+)	45527	45730	203	67	MecI-Truncated
SCCmec_AB037671_Type-III_00056	(+)	46371	47519	1148	382	NN
SCCmec_AB037671_Type-III_00057	(-)	47633	47938	305	101	NN
SCCmec_AB037671_Type-III_00058	(-)	48029	48967	938	312	NN
SCCmec_AB037671_Type-III_00059	(-)	49000	50064	1064	354	NN
SCCmec_AB037671_Type-III_00060	(+)	50200	50460	260	86	NN
SCCmec_AB037671_Type-III_00061	(+)	50475	51104	629	209	NN
SCCmec_AB037671_Type-III_00062	(-)	51372	52058	686	228	NN
SCCmec_AB037671_Type-III_00063	(-)	52070	54484	2414	804	NN
SCCmec_AB037671_Type-III_00064	(-)	54477	54842	365	121	NN
SCCmec_AB037671_Type-III_00065	(-)	55080	55457	377	125	NN
SCCmec_AB037671_Type-III_00066	(-)	55464	57356	1892	630	NN
SCCmec_AB037671_Type-III_00067	(-)	57551	57874	323	107	NN
SCCmec_AB037671_Type-III_00068	(-)	57867	58073	206	68	NN
SCCmec_AB037671_Type-III_00069	(-)	58075	58596	521	173	NN
SCCmec_AB037671_Type-III_00070	(-)	58615	59010	395	131	NN
SCCmec_AB037671_Type-III_00071	(-)	59011	59361	350	116	NN
SCCmec_AB037671_Type-III_00072	(-)	59832	61460	1628	542	ccrB3
SCCmec_AB037671_Type-III_00073	(-)	61481	62827	1346	448	ccrA3
SCCmec_AB037671_Type-III_00074	(-)	63020	63358	338	112	NN
SCCmec_AB037671_Type-III_00075	(-)	63606	65174	1568	522	NN
SCCmec_AB037671_Type-III_00076	(-)	65174	65461	287	95	NN
SCCmec_AB037671_Type-III_00077	(+)	65595	66626	1031	343	NN
SCCmec_AB037671_Type-III_00078	(+)	66696	67268	572	190	NN
